"date","plot","treatment","mean_t_top","mean_t_bottom","mean_t_ground","mean_vwc"
2023-05-16,"2","c",10.1809895833333,12.2369791666667,14.0930989583333,27.2423457595833
2023-05-16,"3","p",9.78190104166667,10.9921875,13.365234375,26.707249195
2023-05-16,"4","wp",10.87109375,11.998046875,13.765625,32.846775149375
2023-05-16,"5","wp",10.634765625,11.7408854166667,13.6315104166667,31.2881427220833
2023-05-16,"6","p",9.9453125,10.5572916666667,12.7649739583333,28.8904036783333
2023-05-16,"7","c",9.634765625,12.140625,13.8072916666667,34.1447828439583
2023-05-16,"8","w",10.8717447916667,13.0794270833333,13.7526041666667,39.792340163125
2023-05-16,"9","w",11.2233072916667,12.626953125,13.283203125,33.0905848010417
2023-06-14,"1","w",20.0123697916667,20.6901041666667,19.658203125,24.0545732985417
2023-06-14,"10","p",17.6998697916667,18.7350260416667,21.1927083333333,17.5482707320833
2023-06-14,"11","c",17.9127604166667,20.392578125,19.8033854166667,30.6092071572917
2023-06-14,"12","wp",19.0930989583333,20.90625,21.8196614583333,12.9899114533333
2023-06-14,"13","wp",19.29296875,20.1751302083333,21.6555989583333,15.1189449779167
2023-06-14,"14","c",17.9231770833333,19.9036458333333,19.2311197916667,25.11851828375
2023-06-14,"15","p",18.44140625,19.6484375,21.84375,16.334083880625
2023-06-14,"16","w",19.1451822916667,19.2545572916667,18.8098958333333,25.3706094060417
2023-06-14,"2","c",18.3528645833333,20.7858072916667,20.1946614583333,26.7027154279167
2023-06-14,"3","p",17.896484375,19.5592447916667,21.521484375,17.8332767985417
2023-06-14,"4","wp",19.37109375,20.9537760416667,22.2591145833333,16.034985019375
2023-06-14,"5","wp",19.095703125,20.9244791666667,22.21875,18.91485506875
2023-06-14,"6","p",17.8815104166667,19.25,21.27734375,19.8728390152083
2023-06-14,"7","c",17.6829427083333,19.4010416666667,19.0983072916667,27.392969088125
2023-06-14,"8","w",19.2194010416667,20.349609375,19.4739583333333,27.0443733410417
2023-06-14,"9","w",19.4453125,20.0618489583333,18.876953125,27.8786434972917
2023-06-28,"1","w",20.2513020833333,21.2565104166667,20.1009114583333,25.2470942439583
2023-06-28,"10","p",18.4505208333333,19.4830729166667,21.63671875,19.3202580808333
2023-06-28,"11","c",18.7669270833333,21.4303385416667,20.4485677083333,28.1698343620833
2023-06-28,"12","wp",19.7018229166667,21.5455729166667,21.9915364583333,14.3427724577083
2023-06-28,"13","wp",20.2180989583333,21.36328125,22.5475260416667,18.3502835979167
2023-06-28,"14","c",18.7467447916667,20.81640625,20.01953125,25.9785631735417
2023-06-28,"15","p",19.4134114583333,21.2044270833333,22.8033854166667,18.6412222685417
2023-06-28,"16","w",19.8723958333333,20.7141927083333,19.6953125,28.6164036033333
2023-06-28,"2","c",19.0885416666667,21.6490885416667,20.9010416666667,27.8471594345833
2023-06-28,"3","p",18.8020833333333,20.875,22.7037760416667,19.9444023872917
2023-06-28,"4","wp",19.9322916666667,21.4388020833333,22.5305989583333,18.0452797575
2023-06-28,"5","wp",19.6770833333333,21.7428385416667,22.443359375,17.739009665625
2023-06-28,"6","p",18.6634114583333,19.8463541666667,21.5638020833333,16.3414512452083
2023-06-28,"7","c",18.466796875,20.3782552083333,19.7005208333333,23.7464220985417
2023-06-28,"8","w",19.6276041666667,21.619140625,20.4029947916667,25.81477729875
2023-06-28,"9","w",19.828125,20.9440104166667,19.5748697916667,30.7337454114583
2023-07-11,"1","w",22.3671875,24.8151041666667,23.4674479166667,35.4984505683333
